sentence_id;token_position;token;lemma;pos;morphology;dependency_relation;head_token;entity_type
11;34;sapiente;sapiente;ADJ;{'Number': 'Sing'};amod;astrologo;O
13;0;questi;questo;DET;{'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Dem'};det;servi;O
13;1;servi;servo;NOUN;{'Gender': 'Masc', 'Number': 'Plur'};nsubj;loro;O
13;2;erano;essere;AUX;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};aux;loro;O
13;3;stati;essere;AUX;{'Gender': 'Masc', 'Number': 'Plur', 'Tense': 'Past', 'VerbForm': 'Part'};cop;loro;O
13;4;loro;loro;PRON;{'Number': 'Plur', 'Person': '3', 'PronType': 'Prs'};ROOT;loro;O
13;5;a;a;ADP;{};mark;rubare;O
13;6;rubare;rubare;VERB;{'VerbForm': 'Inf'};advcl;loro;O
13;7;l';il;DET;{'Definite': 'Def', 'Number': 'Sing', 'PronType': 'Art'};det;anello;O
13;8;anello;anello;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obj;rubare;O
13;10;e;e;CCONJ;{};cc;coscienza;O
13;11;con;con;ADP;{};case;coscienza;O
13;12;la;il;DET;{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'};det;coscienza;O
13;13;coscienza;coscienza;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};conj;anello;O
13;14;sporca;sporco;ADJ;{'Gender': 'Fem', 'Number': 'Sing'};amod;coscienza;O
13;15;che;che;PRON;{'PronType': 'Rel'};nsubj;avevano;O
13;16;avevano;avere;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};acl:relcl;coscienza;O
13;18;le;il;DET;{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'};det;occhiatacce;O
13;19;occhiatacce;occhiataccia;NOUN;{'Gender': 'Fem', 'Number': 'Plur'};appos;loro;O
13;20;che;che;PRON;{'PronType': 'Rel'};nsubj;rivolgeva;O
13;21;rivolgeva;rivolgere;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};acl:relcl;occhiatacce;O
13;22;loro;loro;PRON;{'Number': 'Plur', 'Person': '3', 'PronType': 'Prs'};det:poss;gambara;O
13;23;gambara;Gambara;PROPN;{};obj;rivolgeva;O
13;24;ogni;ogni;DET;{'Number': 'Sing', 'PronType': 'Ind'};det;volta;O
13;25;volta;volta;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obl;rivolgeva;O
13;26;che;che;SCONJ;{};mark;entravano;O
13;27;entravano;entrare;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};acl;volta;O
13;29;per;per;ADP;{};mark;darsi;O
13;30;darsi;dare si;VERB;{'Clitic': 'Yes', 'Person': '3', 'PronType': 'Prs', 'VerbForm': 'Inf'};advcl;entravano;O
13;31;aria;aria;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obj;darsi;O
13;32;d';di;ADP;{};case;uomo;O
13;33;uomo;uomo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};nmod;aria;O
13;34;d';di;ADP;{};case;autorità;O
13;35;autorità;autorità;NOUN;{'Gender': 'Fem'};nmod;uomo;O
13;37;parevano;parere;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};advcl;entravano;O
13;38;loro;loro;DET;{'Poss': 'Yes', 'PronType': 'Prs'};det:poss;occhiate;O
13;39;occhiate;occhiata;NOUN;{'Gender': 'Fem', 'Number': 'Plur'};obj;parevano;O
13;40;di;di;ADP;{};case;sospetto;O
13;41;sospetto;sospetto;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;parevano;O
14;0;cominciarono;cominciare;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;cominciarono;O
14;1;ad;a;ADP;{};mark;aver;O
14;2;aver;avere;VERB;{'VerbForm': 'Inf'};xcomp;cominciarono;O
14;3;paura;paura;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obj;aver;O
14;4;d';di;ADP;{};mark;scoperti;O
14;5;essere;essere;AUX;{'VerbForm': 'Inf'};aux;scoperti;O
14;6;scoperti;scoprire;VERB;{'Gender': 'Masc', 'Number': 'Plur', 'Tense': 'Past', 'VerbForm': 'Part'};acl;paura;O
14;7;e;e;CCONJ;{};cc;finivano;O
14;9;non;non;ADV;{'PronType': 'Neg'};advmod;finivano;O
14;10;la;la;PRON;{'Clitic': 'Yes', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'};obj;finivano;O
14;11;finivano;finire;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};conj;cominciarono;O
14;12;più;più;ADV;{};advmod;finivano;O
14;13;con;con;ADP;{};case;riverenze;O
14;14;le;il;DET;{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'};det;riverenze;O
14;15;riverenze;riverenza;NOUN;{'Gender': 'Fem', 'Number': 'Plur'};obl;finivano;O
14;18;gambara;Gambara;PROPN;{};nsubj;cominciarono;O
14;20;che;che;DET;{'PronType': 'Int'};det;astrologo;O
14;21;astrologo;astrologo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};nmod;gambara;O
14;22;non;non;ADV;{'PronType': 'Neg'};advmod;era;O
14;23;era;essere;AUX;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};cop;astrologo;O
14;25;ma;ma;CCONJ;{};cc;contadino;O
14;26;contadino;contadino;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};conj;astrologo;O
14;28;e;e;CCONJ;{};cc;malizioso;O
14;29;perciò;perciò;ADV;{};advmod;malizioso;O
14;30;malizioso;malizioso;ADJ;{'Gender': 'Masc', 'Number': 'Sing'};conj;astrologo;O
14;32;subito;subito;ADV;{};advmod;pensato;O
14;33;aveva;avere;AUX;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};aux;pensato;O
14;34;pensato;pensare;VERB;{'Gender': 'Masc', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Part'};conj;cominciarono;O
14;35;che;che;SCONJ;{};mark;saperne;O
14;36;i;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'};det;servi;O
14;37;servi;servo;NOUN;{'Gender': 'Masc', 'Number': 'Plur'};nsubj;saperne;O
14;38;dovessero;dovere;AUX;{'Mood': 'Sub', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};aux;saperne;O
14;39;saperne;sapere ne;VERB;{'Clitic': 'Yes', 'PronType': 'Prs', 'VerbForm': 'Inf'};ccomp;pensato;O
14;40;qualcosa;qualcosa;PRON;{'Number': 'Sing', 'PronType': 'Ind'};obj;saperne;O
14;42;e;e;CCONJ;{};cc;pensò;O
14;43;pensò;pensare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};conj;saperne;O
14;44;di;di;ADP;{};mark;farli;O
14;45;farli;fare li;VERB;{'Clitic': 'Yes', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '3', 'PronType': 'Prs', 'VerbForm': 'Inf'};xcomp;pensò;O
14;46;cascare;cascare;VERB;{'VerbForm': 'Inf'};ccomp;farli;O
14;47;in;in;ADP;{};case;inganno;O
14;48;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;inganno;O
14;49;inganno;inganno;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;cascare;O
14;52;un;uno;DET;{'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;giorno;O
14;53;giorno;giorno;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;cominciarono;O
14;55;all';a il;ADP;{'Definite': 'Def', 'Number': 'Sing', 'PronType': 'Art'};case;ora;O
14;56;ora;ora;NOUN;{'Gender': 'Fem', 'Number': 'Sing'};obl;cominciarono;O
14;57;in;in;ADP;{};case;cui;O
14;58;cui;cui;PRON;{'PronType': 'Rel'};obl;portavano;O
14;59;gli;lo;PRON;{'Clitic': 'Yes', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs'};iobj;portavano;O
14;60;portavano;portare;VERB;{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Imp', 'VerbForm': 'Fin'};acl:relcl;ora;O
14;61;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;pranzo;O
14;62;pranzo;pranzo;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obj;portavano;O
14;64;si;si;PRON;{'Clitic': 'Yes', 'Person': '3', 'PronType': 'Prs'};expl:pass;nascose;O
14;65;nascose;nascodere;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};conj;cominciarono;O
14;66;sotto;sotto;ADP;{};case;letto;O
14;67;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;letto;O
14;68;letto;letto;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;nascose;O
15;0;entrò;entrare;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;entrò;O
15;1;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;primo;O
15;2;primo;primo;ADJ;{'Gender': 'Masc', 'NumType': 'Ord', 'Number': 'Sing'};nsubj;entrò;O
15;3;dei;di il;ADP;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'};case;servi;O
15;4;servi;servo;NOUN;{'Gender': 'Masc', 'Number': 'Plur'};obl;primo;O
15;5;e;e;CCONJ;{};cc;vide;O
15;6;non;non;ADV;{'PronType': 'Neg'};advmod;vide;O
15;7;vide;vedere;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};conj;entrò;O
15;8;nessuno;nessuno;PRON;{'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Ind'};obj;vide;O
16;0;di;di;ADP;{};mark;disse;O
16;1;sotto;sotto;ADP;{};case;letto;O
16;2;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;letto;O
16;3;letto;letto;NOUN;{'Gender': 'Masc', 'Number': 'Sing'};obl;disse;O
16;4;gambara;Gambara;PROPN;{};nmod;letto;O
16;5;disse;dire;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'};ROOT;disse;O
16;6;forte;forte;ADJ;{'Number': 'Sing'};xcomp;disse;O
17;1;e;e;CCONJ;{};cc;uno!-;O
17;2;uno!-;uno!-;VERB;{'Mood': 'Ind', 'Number': 'Sing', 'Person': '2', 'Tense': 'Pres', 'VerbForm': 'Fin'};advcl;lasciò;O
17;3;il;il;DET;{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'};det;servo;O
