ph1,ph2,ph3,probability
tS,i,a,0.0013339261894175188
tS,i,e,0.00044464206313917296
tS,i,o,0.00044464206313917296
n,a,n,0.0993662290629244
n,a,i,0.008374830239927569
n,a,r,0.17768220914440924
n,a,ss,0.012675418741511997
n,a,t,0.2741059302851969
n,a,v,0.04979628791308284
n,a,m,0.04345857854232685
n,a,ddZ,0.005885015844273427
n,a,l,0.13467632412856495
n,a,w,0.014938886373924853
n,a,tts,0.03463105477591671
n,a,mm,0.0018107741059302852
n,a,b,0.01607062019013128
n,a,kk,0.003847894975101856
n,a,k,0.009053870529651425
n,a,d,0.009959257582616569
n,a,e,0.0004526935264825713
n,a,ff,0.001358080579447714
n,a,LL,0.003847894975101856
n,a,JJ,0.00022634676324128565
n,a,ɡ,0.006564056133997284
n,a,s,0.026029877772747848
n,a,p,0.006337709370755998
n,a,S,0.007922136713444997
n,a,tt,0.00520597555454957
n,a,z,0.002716161158895428
n,a,j,0.005658669081032141
n,a,rr,0.006790402897238569
n,a,ttS,0.010638297872340425
n,a,tS,0.005432322317790856
n,a,ll,0.0004526935264825713
n,a,nn,0.002037120869171571
n,a,f,0.0009053870529651426
n,a,pp,0.003847894975101856
n,a,o,0.00022634676324128565
n,a,dZ,0.002716161158895428
n,a,bb,0.00022634676324128565
n,a,ddz,0.0015844273426889996
n,a,ŋ,0.0004526935264825713
n,a,J,0.00022634676324128565
n,a,vv,0.001358080579447714
n,a,O,0.0004526935264825713
d,e,ss,0.026460859977949284
d,e,m,0.04327453142227122
d,e,r,0.3073318632855568
d,e,v,0.07690187431091511
d,e,t,0.050716648291069456
d,e,n,0.06312017640573318
d,e,ɡ,0.014608599779492833
d,e,l,0.04217199558985667
d,e,s,0.06670341786108049
d,e,z,0.014608599779492833
d,e,u,0.0005512679162072767
d,e,b,0.022326350606394707
d,e,p,0.03858875413450937
d,e,mm,0.005237045203969129
d,e,a,0.008544652701212789
d,e,tS,0.030044101433296583
d,e,f,0.036108048511576625
d,e,ll,0.011852260198456449
d,e,tt,0.023153252480705624
d,e,ddZ,0.005788313120176406
d,e,k,0.05154355016538038
d,e,tts,0.006339581036383682
d,e,i,0.002205071664829107
d,e,bb,0.0008269018743109151
d,e,kk,0.0002756339581036384
d,e,d,0.012679162072767364
d,e,dZ,0.006339581036383682
d,e,L,0.0002756339581036384
d,e,LL,0.0002756339581036384
d,e,JJ,0.009647188533627343
d,e,j,0.0011025358324145535
d,e,o,0.014608599779492833
d,e,O,0.0011025358324145535
d,e,rr,0.0002756339581036384
d,e,S,0.0024807056229327455
d,e,nn,0.0013781697905181918
d,e,w,0.0005512679162072767
e,ss,a,0.22490706319702602
e,ss,e,0.2760223048327137
e,ss,i,0.22490706319702602
e,ss,j,0.11802973977695168
e,ss,O,0.011152416356877323
e,ss,o,0.07806691449814127
e,ss,w,0.02509293680297398
e,ss,E,0.016728624535315983
e,ss,u,0.02509293680297398
a,LL,i,0.1172962226640159
a,LL,a,0.5924453280318092
a,LL,o,0.11530815109343936
a,LL,E,0.033797216699801194
a,LL,e,0.10536779324055666
a,LL,O,0.02584493041749503
a,LL,u,0.009940357852882704
LL,a,n,0.21761658031088082
LL,a,r,0.21070811744386875
LL,a,t,0.33678756476683935
LL,a,m,0.039723661485319514
LL,a,v,0.08117443868739206
LL,a,ss,0.02072538860103627
LL,a,j,0.0069084628670120895
LL,a,s,0.010362694300518135
LL,a,d,0.0017271157167530224
LL,a,ttS,0.012089810017271158
LL,a,tS,0.0017271157167530224
LL,a,b,0.012089810017271158
LL,a,i,0.012089810017271158
LL,a,tts,0.0034542314335060447
LL,a,o,0.0017271157167530224
LL,a,tt,0.0069084628670120895
LL,a,l,0.0051813471502590676
LL,a,k,0.0034542314335060447
LL,a,f,0.0017271157167530224
LL,a,ɡ,0.0034542314335060447
LL,a,p,0.0017271157167530224
LL,a,kk,0.008635578583765112
a,r,e,0.21463376904632997
a,r,tS,0.03008740041766571
a,r,l,0.10828370330265295
a,r,m,0.04803155696496249
a,r,o,0.05499265217727589
a,r,s,0.06883749709954366
a,r,t,0.061180292365998916
a,r,b,0.013999535926985846
a,r,j,0.05476061567019878
a,r,n,0.02668419831386805
a,r,d,0.04694871993193596
a,r,v,0.011524479851496636
a,r,i,0.09296929383556346
a,r,a,0.0752571737953438
a,r,E,0.01276200788924124
a,r,L,0.010828370330265295
a,r,O,0.008275968752417047
a,r,k,0.028695181375203032
a,r,ɡ,0.008275968752417047
a,r,ee,0.00023203650707711348
a,r,dZ,0.007966586742980895
a,r,p,0.005491530667491686
a,r,z,0.0003867275117951891
a,r,u,0.002552401577848248
a,r,ts,0.0015469100471807563
a,r,dz,0.0014695645448217186
a,r,w,0.00015469100471807563
a,r,LL,0.00023203650707711348
a,r,f,0.0015469100471807563
a,r,J,7.734550235903782e-05
a,r,ii,7.734550235903782e-05
a,r,tz,0.001237528037744605
LL,i,n,0.2857142857142857
LL,i,m,0.14285714285714285
LL,i,o,0.05714285714285714
LL,i,s,0.11428571428571428
LL,i,a,0.02857142857142857
LL,i,r,0.05714285714285714
LL,i,t,0.2
LL,i,b,0.02857142857142857
LL,i,l,0.05714285714285714
LL,i,p,0.02857142857142857
a,JJ,a,0.43922651933701656
a,JJ,e,0.09392265193370165
a,JJ,i,0.1298342541436464
a,JJ,o,0.15469613259668508
a,JJ,E,0.04696132596685083
a,JJ,O,0.10220994475138122
a,JJ,w,0.011049723756906077
a,JJ,u,0.022099447513812154
JJ,a,l,0.06930693069306931
JJ,a,t,0.2755775577557756
JJ,a,n,0.21122112211221122
JJ,a,v,0.07425742574257425
JJ,a,i,0.01485148514851485
JJ,a,m,0.034653465346534656
JJ,a,r,0.2145214521452145
JJ,a,ss,0.028052805280528052
JJ,a,k,0.0049504950495049506
JJ,a,tts,0.036303630363036306
JJ,a,S,0.0016501650165016502
JJ,a,s,0.0016501650165016502
JJ,a,o,0.0016501650165016502
JJ,a,ttS,0.0049504950495049506
JJ,a,b,0.00825082508250825
JJ,a,ɡ,0.006600660066006601
JJ,a,j,0.0049504950495049506
JJ,a,ddZ,0.0016501650165016502
JJ,a,tt,0.0033003300330033004
JJ,a,p,0.0016501650165016502
a,l,e,0.16352808627072268
a,l,i,0.308868501529052
a,l,m,0.04313536133912763
a,l,a,0.08659262835989055
a,l,k,0.03508771929824561
a,l,d,0.04426203122485112
a,l,o,0.035570577820698536
a,l,b,0.021567680669563816
a,l,dZ,0.005955255110252696
a,l,E,0.01899243521648157
a,l,u,0.03219056816352809
a,l,tS,0.014163849991952358
a,l,f,0.01158860453887011
a,l,ɡ,0.00788668920006438
a,l,j,0.016578142604216965
a,l,O,0.010300981812328988
a,l,p,0.01577337840012876
a,l,s,0.013520038628681796
a,l,t,0.05794302269435055
a,l,v,0.023821020441010785
a,l,ts,0.0294543698696282
a,l,tz,0.0004828585224529213
a,l,n,0.0016095284081764044
a,l,r,0.0008047642040882022
a,l,z,0.00032190568163528087
a,j,a,0.3316708229426434
a,j,e,0.08478802992518704
a,j,o,0.24688279301745636
a,j,O,0.10723192019950124
a,j,E,0.02493765586034913
a,j,u,0.13466334164588528
a,j,k,0.014962593516209476
a,j,tS,0.0024937655860349127
a,j,dZ,0.004987531172069825
a,j,p,0.004987531172069825
a,j,z,0.0024937655860349127
a,j,n,0.0199501246882793
a,j,d,0.004987531172069825
a,j,l,0.014962593516209476
a,v,a,0.6556550951847704
a,v,o,0.13297872340425532
a,v,i,0.08174692049272117
a,v,e,0.07110862262038074
a,v,j,0.015117581187010079
a,v,E,0.023516237402015677
a,v,O,0.012038073908174692
a,v,r,0.004759238521836506
a,v,u,0.0025195968645016797
a,v,l,0.0005599104143337066
v,a,n,0.39661971830985915
v,a,m,0.08225352112676056
v,a,t,0.09521126760563381
v,a,r,0.10112676056338028
v,a,ll,0.028450704225352112
v,a,kk,0.007323943661971831
v,a,s,0.017746478873239435
v,a,ttS,0.005633802816901409
v,a,tts,0.01436619718309859
v,a,v,0.017183098591549296
v,a,l,0.09830985915492958
v,a,z,0.01267605633802817
v,a,i,0.0067605633802816905
v,a,d,0.011830985915492958
v,a,mm,0.0011267605633802818
v,a,ss,0.009577464788732394
v,a,ŋ,0.0022535211267605635
v,a,LL,0.010422535211267606
v,a,dZ,0.0036619718309859155
v,a,nn,0.0050704225352112674
v,a,ddZ,0.004507042253521127
v,a,tS,0.005633802816901409
v,a,JJ,0.0022535211267605635
v,a,j,0.0036619718309859155
v,a,rr,0.0033802816901408453
v,a,tt,0.005352112676056338
v,a,S,0.0008450704225352113
v,a,b,0.0050704225352112674
v,a,k,0.0067605633802816905
v,a,ɡ,0.023098591549295774
v,a,J,0.0036619718309859155
v,a,p,0.007323943661971831
v,a,f,0.00028169014084507044
v,a,o,0.00028169014084507044
v,a,bb,0.00028169014084507044
a,i,n,0.29523809523809524
a,i,d,0.03333333333333333
a,i,l,0.0380952380952381
a,i,m,0.05238095238095238
a,i,k,0.12380952380952381
a,i,r,0.09523809523809523
a,i,ss,0.004761904761904762
a,i,t,0.08095238095238096
a,i,tts,0.02857142857142857
a,i,tS,0.05714285714285714
a,i,s,0.05238095238095238
a,i,z,0.03333333333333333
a,i,kk,0.004761904761904762
a,i,b,0.02857142857142857
a,i,a,0.014285714285714285
a,i,o,0.014285714285714285
a,i,S,0.004761904761904762
a,i,tt,0.004761904761904762
a,i,ɡ,0.009523809523809525
a,i,J,0.004761904761904762
a,i,ŋ,0.004761904761904762
a,i,u,0.004761904761904762
a,i,p,0.004761904761904762
a,i,w,0.004761904761904762
d,o,n,0.16991747936984247
d,o,LL,0.03075768942235559
d,o,l,0.26069017254313576
d,o,s,0.15641410352588148
d,o,m,0.09264816204051013
d,o,r,0.06451612903225806
d,o,f,0.0011252813203300824
d,o,tt,0.03113278319579895
d,o,kk,0.0011252813203300824
d,o,p,0.011627906976744186
d,o,tts,0.0007501875468867217
d,o,v,0.05138784696174044
d,o,tS,0.030382595648912228
d,o,b,0.002250562640660165
d,o,z,0.01350337584396099
d,o,ll,0.0018754688672168042
d,o,t,0.014628657164291074
d,o,ɡ,0.006751687921980495
d,o,ttS,0.0018754688672168042
d,o,ddz,0.0018754688672168042
d,o,JJ,0.00037509377344336085
d,o,j,0.0007501875468867217
d,o,J,0.00037509377344336085
d,o,i,0.0007501875468867217
d,o,a,0.002625656414103526
d,o,bb,0.0011252813203300824
d,o,k,0.01312828207051763
d,o,d,0.005251312828207052
d,o,nn,0.004876219054763691
d,o,pp,0.01387846961740435
d,o,ss,0.010877719429857465
d,o,dZ,0.0007501875468867217
o,n,a,0.12064688045575668
o,n,o,0.1305706147202058
o,n,e,0.22346779380685472
o,n,i,0.15997427180005513
o,n,O,0.007259027841587797
o,n,d,0.07736837269135349
o,n,dz,0.004134889276853809
o,n,j,0.01396673711292842
o,n,s,0.049526784893871176
o,n,t,0.131121933290453
o,n,E,0.009280529265827437
o,n,f,0.04208398419553432
o,n,v,0.02297160709363227
o,n,u,0.004043002848479279
o,n,ts,0.002205274280988698
o,n,b,9.188642837452908e-05
o,n,w,9.188642837452908e-05
o,n,l,0.00018377285674905816
o,n,L,9.188642837452908e-05
o,n,p,9.188642837452908e-05
o,n,r,0.0003675457134981163
o,n,z,0.00045943214187264543
o,LL,i,0.3782894736842105
o,LL,a,0.24671052631578946
o,LL,E,0.0625
o,LL,e,0.20394736842105263
o,LL,O,0.013157894736842105
o,LL,o,0.09210526315789473
o,LL,ii,0.003289473684210526
o,l,e,0.11115248557065724
o,l,o,0.16011915844349284
o,l,a,0.27685719605287656
o,l,i,0.20052131819028113
o,l,E,0.016942841184137032
o,l,t,0.05995159188233104
o,l,tS,0.005957922174641594
o,l,f,0.007261217650344443
o,l,j,0.00837832805808974
o,l,m,0.011915844349283188
o,l,O,0.04170545522249115
o,l,u,0.02885868553342022
o,l,v,0.013591509960901136
o,l,d,0.005585552038726494
o,l,dZ,0.017501396388009682
o,l,s,0.001861850679575498
o,l,S,0.000930925339787749
o,l,dz,0.0005585552038726494
o,l,ts,0.0003723701359150996
o,l,ii,0.0013032954757028485
o,l,w,0.0003723701359150996
o,l,b,0.0001861850679575498
o,l,k,0.004840811766896295
o,l,ɡ,0.005213181902811394
o,l,n,0.0001861850679575498
o,l,p,0.01787376652392478
o,s,i,0.43027560674619497
o,s,t,0.3994241053064582
o,s,k,0.08103661044837515
o,s,p,0.07856849033319621
o,s,f,0.008638420403126285
o,s,e,0.00041135335252982314
o,s,v,0.0016454134101192926
r,tS,i,0.6015037593984962
r,tS,a,0.10776942355889724
r,tS,O,0.007518796992481203
r,tS,e,0.21303258145363407
r,tS,E,0.04887218045112782
r,tS,o,0.018796992481203006
r,tS,u,0.002506265664160401
r,l,a,0.2993288590604027
r,l,i,0.203579418344519
r,l,o,0.29217002237136463
r,l,e,0.18031319910514543
r,l,E,0.004921700223713647
r,l,O,0.004026845637583893
r,l,u,0.012080536912751677
