BEGIN,entropy,type_of_words,word
4720905,0.8602805137634277,content,Stragenerale
4754421,4.897526264190674,function,per
4758831,8.94404125213623,function,la
4765887,8.817309379577637,content,seconda
4784409,3.760954856872559,content,volta
4817925,4.4669389724731445,content,Fuoco
4839975,7.340448379516602,content,perbacco
4898187,3.810333013534546,function,L'
4901274,5.547698020935059,content,artigliere
4926411,3.955876350402832,content,premette
4944033,4.592227935791016,content,nuovamente
4967424,4.861888885498047,function,il
4975362,6.727829456329346,content,pulsante
5019462,3.806650638580322,function,e
5027400,7.994153499603271,function,di
5033133,9.059808731079102,content,nuovo
5047686,4.513833999633789,function,un
5055183,5.613029956817627,content,festoso
5081202,7.708645820617676,content,concerto
5108544,4.096137523651123,function,di
5112072,9.49462890625,content,campane
5150015,4.066188812255859,function,si
5157936,8.778339385986328,content,diffuse
5181309,6.136740207672119,function,di
5186601,4.746755599975586,content,trincea
5209092,4.24552059173584,function,in
5216148,4.302396774291992,content,trincea
5279652,5.834082126617432,content,Pareva
5294646,6.4983320236206055,function,che
5299497,4.683550834655762,content,suonassero
5330808,7.76316499710083,content,insieme
5351094,7.242255210876465,function,tutte
5363883,2.6089322566986084,function,le
5369616,2.313976287841797,content,campane
5400486,5.958450794219971,function,della
5410188,7.82053279876709,function,nostra
5429592,5.998987197875977,content,patria
5487804,7.650439739227295,function,Lo
5493978,0.2424732446670532,content,Stragenerale
5525730,6.902660369873047,function,si
5535432,5.401714324951172,content,strappava
5554395,6.423966407775879,function,i
5557041,7.835602760314941,content,capelli
5578209,5.047720909118652,function,per
5585265,8.446488380432129,function,la
5590998,8.144003868103027,content,rabbia
5621868,4.495448589324951,function,e
5628924,7.2772393226623535,content,continuò
5649651,4.11374568939209,function,a
5651415,4.61854887008667,content,strapparseli
5691105,6.394076347351074,content,fin
5698602,6.007806777954102,function,che
5700807,7.048185348510742,function,gliene
5713596,8.075225830078125,content,rimase
5733882,8.003425598144531,function,uno
5746230,6.127684116363525,content,solo
5808852,7.293547630310059,content,Poi
