BEGIN,entropy,type_of_words,word
3485664.0,6.481785297393799,content,ritornò
3508596.0,6.104404449462891,function,subito
3558429.0,5.984264373779297,content,Papà
3592337.0,7.541491508483887,function,sopra
3602970.0,6.603147506713867,function,alla
3610026.0,6.239124298095703,content,gabbia
3621933.0,5.472237586975098,function,si
3628107.0,7.792305946350098,function,è
3632076.0,5.296312808990479,content,posato
3647511.0,5.789336681365967,function,un
3653244.0,7.716446399688721,content,altro
3666033.0,4.002301216125488,content,uccello
3689847.0,4.77744197845459,function,che
3694698.0,7.112657070159912,function,non
3698667.0,8.118005752563477,function,vuole
3712338.0,7.900812149047852,content,andare
3728655.0,4.614584445953369,function,via
3780252.0,5.962394714355469,function,Era
3785985.0,7.534422874450684,function,un
3792600.0,3.406342029571533,content,pappagallino
3839429.0,4.372899532318115,function,che
3844638.0,7.540940284729004,function,con
3850371.0,6.559352397918701,function,le
3860514.0,4.176014423370361,content,zampette
3881682.0,4.335409164428711,content,artigliava
3911670.0,6.527278423309326,function,le
3916962.0,3.430604696273804,content,sbarre
3935484.0,5.130825042724609,function,della
3945186.0,4.625550270080566,content,gabbia
3980907.0,6.567920684814453,function,Il
3985758.0,1.6474450826644895,content,cardellino
4007808.0,7.497841835021973,function,era
4015746.0,8.664877891540527,function,piuttosto
4040442.0,4.833089351654053,content,agitato
4063815.0,7.792642116546631,content,pareva
4077045.0,7.185512542724609,function,non
4084101.0,5.949986934661865,content,gradire
4101300.0,6.014144420623779,function,la
4105621.0,6.42694616317749,content,visita
4179798.0,7.149327754974365,content,Capii
4194792.0,8.374431610107422,function,che
4202289.0,7.941683769226074,function,anche
4212432.0,5.983156681060791,function,lui
4233600.0,7.132982730865479,function,doveva
4245948.0,8.200393676757812,function,essere
4263147.0,8.44931411743164,function,un
4267557.0,4.691258907318115,content,evaso
4289166.0,3.129807949066162,content,pentito
4310334.0,3.7535250186920166,function,della
4324446.0,5.935686111450195,content,fuga
4394101.0,6.397608757019043,function,Con
4397211.0,3.5476737022399902,function,l'
4400739.0,8.163090705871582,content,aiuto
