word,phoneme,phoneme_surprisal
vedeva,v,0.3147232698854916
vedeva,a,0.273659285607808
passare,p,5.4442552657448955
passare,a,2.3630185740844456
passare,ss,0.7501506234036421
passare,a,0.3891576373790961
passare,r,0.1778481003778974
passare,e,0.05020857466327495
qualcuno,k,3.6908649053798195
qualcuno,w,0.4742498528930994
qualcuno,a,0.6039056837861246
qualcuno,l,0.06352409874320908
qualcuno,k,0.01799391407112268
qualcuno,u,1.952493740045542
qualcuno,n,-0.0
qualcuno,o,0.03286266679324141
degli,d,2.9031278581417204
degli,e,1.6398473368784563
degli,LL,3.7299791800774726
degli,i,-0.0
abitanti,a,0.5266244693035671
abitanti,b,2.1580538453055906
abitanti,i,0.007319856584680109
abitanti,t,0.00047948770166982615
abitanti,a,0.003970256780045475
abitanti,n,0.0056952467926054545
abitanti,t,4.322035568482695e-05
abitanti,i,4.905509122674065e-05
delle,d,2.6619148343446217
delle,e,0.9564450962197988
delle,ll,0.9984518535611796
delle,e,2.653018695353942
altre,a,7.059637635366949
altre,l,1.3767461294407977
altre,t,0.14740186487867263
altre,r,0.015179920369828058
altre,e,0.08538233279489615
novantotto,n,8.364983430373849
novantotto,o,1.979805172825158
novantotto,v,4.902897404035033
novantotto,a,1.5431633580304216
novantotto,n,0.0802775026041861
novantotto,t,-0.0
novantotto,O,13.757965113504461
novantotto,tt,-0.0
novantotto,o,-0.0
casette,k,2.7201170923542777
casette,a,2.5799029373003353
casette,z,0.5278489022963235
casette,e,0.05768111356967251
casette,tt,0.14777427502283344
casette,e,0.03354117473782231
uomo,w,13.880673095938747
uomo,O,0.0029110135836707325
uomo,m,0.11672508968538169
uomo,o,2.3089073958416537
donna,d,3.4746789038874044
donna,O,6.107306194964492
donna,nn,1.6809519786884428
donna,a,1.191578705133915
ho,O,17.51521948079257
bambino,b,5.403990007855393
bambino,a,1.2569622694956306
bambino,m,3.242360989635564
bambino,b,0.0004884209648025684
bambino,i,0.0934840206434984
bambino,n,-0.0
bambino,o,1.0483481982112375
lo,l,4.990235385099107
lo,o,2.3528569519255784
stesso,s,2.8913760134562483
stesso,t,2.506966708717488
stesso,e,2.483183305330848
stesso,ss,0.14778470788477496
stesso,o,0.01258701206591756
facevano,f,5.278303023377574
facevano,a,0.9437670991846583
facevano,tS,3.0199102645183884
facevano,e,0.10407466508894504
facevano,v,0.12464392839611838
facevano,a,0.018171147348295405
facevano,n,4.228003815538118
facevano,o,-0.0
gli,L,7.0087299598477895
gli,i,0.007501781975489363
alti,a,0.5374458068381188
alti,l,1.3078994695670885
alti,t,0.02370806079445496
alti,i,12.445186521620522
novantotto,n,5.090319731476925
novantotto,o,1.7422897763275524
novantotto,v,6.962075789772951
novantotto,a,0.33033848987869974
novantotto,n,0.058868994784011315
novantotto,t,-0.0
novantotto,O,0.7297382596446915
novantotto,tt,-0.0
novantotto,o,-0.0
cani,k,0.712745646798728
cani,a,0.11933847118674183
cani,n,6.618140587014375
cani,i,0.6931125375179367
è,E,7.748850317274706
avevano,a,3.894683995686488
avevano,v,4.611717351120285
