TOKEN;BEGIN;ORT;;BEGIN;ORT;
299;5731236;Gli;;5659794;Gli;FALSO
300;5735205;toccò;;5662881;toccò;FALSO
301;5751081;di;;5751081;di;VERO
302;5755932;passare;;5755932;passare;VERO
303;5771808;la;;5771808;la;VERO
304;5777541;notte;;5777541;notte;VERO
305;5792535;seduto;;5792535;seduto;VERO
306;5813262;su;;5813262;su;VERO
307;5821200;una;;5821200;una;VERO
308;5826051;poltrona;;5826051;poltrona;VERO
309;5879412;con;;5879412;con;VERO
310;5886027;le;;5886027;le;VERO
311;5893524;braccia;;5893524;braccia;VERO
312;5908959;alzate;;5908959;alzate;VERO
313;5933655;per;;5933655;per;VERO
314;5939388;non;;5939388;non;VERO
315;5947767;toccare;;5947767;toccare;VERO
316;5967171;niente;;5967171;niente;VERO
317;6013917;e;;6010830;e;FALSO
318;6015240;la;;6015240;la;VERO
319;6020091;mattina;;6020091;mattina;VERO
320;6039054;dopo;;6039054;dopo;VERO
321;6050961;era;;6050961;era;VERO
322;6058458;stanco;;6058458;stanco;VERO
323;6078744;morto;;6078744;morto;VERO
324;6147050;Corse;;6135192;Corse;FALSO
325;6159447;subito;;6159447;subito;VERO
326;6176646;dal;;6176646;dal;VERO
327;6183702;mago;;6183702;mago;VERO
328;6199137;Apollo;;6199137;Apollo;VERO
329;6234858;per;;6234858;per;VERO
330;6243016;farsi;;6243016;farsi;VERO
331;6263523;disfare;;6263523;disfare;VERO
332;6287778;l;;6287778;l;VERO
333;6289542;incantesimo;;6289542;incantesimo;VERO
334;6345990;e;;6345990;e;VERO
335;6352605;Apollo;;6352605;Apollo;VERO
336;6369804;lo;;6369804;lo;VERO
337;6377301;accontentò;;6377301;accontentò;VERO
338;6456681;Va;;6456681;Va;VERO
339;6463296;bene;;6463296;bene;VERO
340;6487992;gli;;6474321;gli;FALSO
341;6494911;disse;;6487992;disse;FALSO
342;6537825;ma;;6537825;ma;VERO
343;6543117;sta;;6543117;sta;VERO
344;6554583;bene;;6554583;bene;VERO
345;6566049;attento;;6566049;attento;VERO
346;6626907;perché;;6626907;perché;VERO
347;6640578;per;;6640578;per;VERO
348;6649398;far;;6649398;far;VERO
349;6657336;passare;;6657336;passare;VERO
350;6676740;l;;6676740;l;VERO
351;6679827;incantesimo;;6679827;incantesimo;VERO
352;6716430;ci;;6716430;ci;VERO
353;6721722;vogliono;;6721722;vogliono;VERO
354;6739803;sette;;6739803;sette;VERO
355;6762735;ore;;6762735;ore;VERO
356;6787872;e;;6777288;e;FALSO
357;6789195;sette;;6789195;sette;VERO
358;6808158;minuti;;6808158;minuti;VERO
359;6827121;giusti;;6827121;giusti;VERO
360;6875190;e;;6875190;e;VERO
361;6878718;in;;6878718;in;VERO
362;6886215;questo;;6886215;questo;VERO
363;6902973;tempo;;6902973;tempo;VERO
364;6935170;tutto;;6924141;tutto;FALSO
365;6947514;quello;;6947514;quello;VERO
366;6959862;che;;6959862;che;VERO
367;6965595;toccherai;;6965595;toccherai;VERO
368;7007049;diventerà;;7007049;diventerà;VERO
369;7036155;cacca;;7036155;cacca;VERO
370;7057764;di;;7057764;di;VERO
371;7062174;mucca;;7062174;mucca;VERO
372;7126560;Il;;7123473;Il;FALSO
373;7131411;re;;7131411;re;VERO
374;7135821;Mida;;7135821;Mida;VERO
375;7148169;se;;7148169;se;VERO
376;7155225;ne;;7155225;ne;VERO
377;7157871;andò;;7157871;andò;VERO
378;7176393;tutto;;7176393;tutto;VERO
379;7189182;consolato;;7189182;consolato;VERO
380;7250481;e;;7246953;e;FALSO
381;7251804;stava;;7251804;stava;VERO
382;7267680;bene;;7267680;bene;VERO
383;7277382;attento;;7277382;attento;VERO
384;7297668;all'orologio;;7297668;all';VERO
385;7301637;orologio;;7301637;orologio;VERO
386;7328097;per;;7328097;per;VERO
387;7334712;non;;7334712;non;VERO
388;7342650;toccare;;7342650;toccare;VERO
389;7361613;niente;;7361613;niente;VERO
390;7381017;prima;;7381017;prima;VERO
391;7394688;che;;7394688;che;VERO
392;7401744;fossero;;7401744;fossero;VERO
393;7419825;passati;;7419825;passati;VERO
394;7451136;sette;;7451136;sette;VERO
395;7470981;ore;;7470981;ore;VERO
396;7485093;e;;7485093;e;VERO
397;7488180;sette;;7488180;sette;VERO
398;7506261;minuti;;7506261;minuti;VERO
399;7572852;Purtropo;;7572852;Purtroppo;VERO
400;7594902;il;;7594902;il;VERO
401;7602399;suo;;7602399;suo;VERO
402;7608132;orologio;;7608132;orologio;VERO
403;7631064;correva;;7631064;correva;VERO
404;7651350;un;;7641207;un;FALSO
405;7658406;po;;7658406;po;VERO
406;7664580;più;;7664580;più;VERO
407;7673400;del;;7673400;del;VERO
408;7683102;necessario;;7683102;necessario;VERO
409;7748811;e;;7743960;e;FALSO
410;7750575;andava;;7750575;andava;VERO
411;7761600;avanti;;7761600;avanti;VERO
412;7789383;un;;7789383;un;VERO
413;7796439;minuto;;7796439;minuto;VERO
414;7829514;ogni;;7829514;ogni;VERO
415;7844508;ora;;7844508;ora;VERO
416;7896546;Quando;;7896546;Quando;VERO
417;7912422;ebe;;7912422;ebbe;VERO
418;7926093;contato;;7926093;contato;VERO
419;7950789;sette;;7950789;sette;VERO
420;7974162;ore;;7974162;ore;VERO
421;7997976;e;;7997976;e;VERO
422;8002827;sette;;8002827;sette;VERO
423;8023113;minuti;;8023113;minuti;VERO
424;8081325;il;;8079120;il;FALSO
425;8085735;re;;8085735;re;VERO
426;8091909;Mida;;8091909;Mida;VERO
427;8101170;aprì;;8101170;aprì;VERO
428;8117928;la;;8117928;la;VERO
429;8124984;macchina;;8124984;macchina;VERO
430;8148357;e;;8148357;e;VERO
431;8154090;ci;;8154090;ci;VERO
432;8160705;montò;;8160705;montò;VERO
433;8209656;e;;8206128;e;FALSO
434;8210979;subito;;8210979;subito;VERO
435;8232147;si;;8232147;si;VERO
436;8240526;trovò;;8240526;trovò;VERO
437;8253756;seduto;;8253756;seduto;VERO
438;8286831;in;;8280216;in;FALSO
439;8293446;mezzo;;8293446;mezzo;VERO
440;;a;;;a;VERO
441;8311968;un;;8311968;un;VERO
442;8315496;gran;;8315496;gran;VERO
443;8327844;mucchio;;8327844;mucchio;VERO
444;8354745;di;;8354745;di;VERO
445;8361801;cacca;;8361801;cacca;VERO
446;8378118;di;;8378118;di;VERO
447;8382969;mucca;;8382969;mucca;VERO
448;8432361;perché;;8432361;perché;VERO
449;8443827;mancavano;;8443827;mancavano;VERO
450;8467641;ancora;;8467641;ancora;VERO
451;8496306;sette;;8496306;sette;VERO
452;8517915;minuti;;8517915;minuti;VERO
453;8561133;alla;;8558928;alla;FALSO
454;8573922;fine;;8573922;fine;VERO
455;8587593;dell'incantesimo;;8587593;dell';VERO
456;8594208;incantesimo;;8594208;incantesimo;VERO
