BEGIN;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD;Modo di articolazione;Luogo di articolazione;Sonorit�;Modo di articolazione;Luogo di articolazione;Sonorit�
1019813;37;m;;impigliato;i m p i LL a t o;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
1024619;37;p;;impigliato;i m p i LL a t o;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
1026516;37;i;;impigliato;i m p i LL a t o;;;;;;;;alta;anteriore;v;alta;anteriore;v
1030397;37;LL;;impigliato;i m p i LL a t o;;;;;;;;approssimante laterale;velare;sonora;approssimante laterale;velare;sonora
1039437;37;a;;impigliato;i m p i LL a t o;;;;;;;;bassa;centrale;v;bassa;centrale;v
1050991;37;t;;impigliato;i m p i LL a t o;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1052932;37;o;;impigliato;i m p i LL a t o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1056548;-1;<p:>;;;;;;;;;;;;;;;;
1111188;38;f;;fra;f r a;;;;;;;;fricativa;labiodentale;sorda;fricativa;labiodentale;sorda
1070131;38;r;;fra;f r a;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1073129;38;a;;fra;f r a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1075423;39;i;;i;i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1082876;40;p;;pali;p a l i;;;;;;;;occlusiva;bilabiale;sorda;occlusiva;bilabiale;sorda
1084022;40;a;;pali;p a l i;;;;;;;;bassa;centrale;v;bassa;centrale;v
1089182;40;l;;pali;p a l i;;;;;;;;laterale;alveolare;sonora;laterale;alveolare;sonora
1094474;40;i;;pali;p a l i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1101574;41;d;;di;d i;;;;;;;;occlusiva;alveolare;sonora;occlusiva;alveolare;sonora
1102853;41;i;;di;d i;;;;;;;;alta;anteriore;v;alta;anteriore;v
1104573;42;u;;un;u n;;;;;;;;alta;posteriore;v;alta;posteriore;v
1106072;42;n;;un;u n;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
1109380;43;r;;recinto;r e tS i n t o;;;;;;;;vibrante;alveolare;sonora;vibrante;alveolare;sonora
1114098;43;e;;recinto;r e tS i n t o;;;;;;;;medio-alta;anteriore;v;medio-alta;anteriore;v
1119567;43;tS;;recinto;r e tS i n t o;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
1125653;43;i;;recinto;r e tS i n t o;;;;;;;;alta;anteriore;v;alta;anteriore;v
1129313;43;n;;recinto;r e tS i n t o;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
1140382;43;t;;recinto;r e tS i n t o;;;;;;;;occlusiva;alveolare;sorda;occlusiva;alveolare;sorda
1142146;43;o;;recinto;r e tS i n t o;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1146424;-1;<p:>;;;;;;;;;;;;;;;;
1185761;44;E;;E;E;;;;;;;;medio-bassa;anteriore;v;medio-bassa;anteriore;v
1194845;45;k;;comincia;k o m i n tS a;;;;;;;;occlusiva;velare;sorda;occlusiva;velare;sorda
1198682;45;o;;comincia;k o m i n tS a;;;;;;;;medio-alta;posteriore;v;medio-alta;posteriore;v
1246001;45;m;;comincia;k o m i n tS a;;;;;;;;nasale;bilabiale;sonora;nasale;bilabiale;sonora
1205562;45;i;;comincia;k o m i n tS a;;;;;;;;alta;anteriore;v;alta;anteriore;v
1211427;45;n;;comincia;k o m i n tS a;;;;;;;;nasale;alveolare;sonora;nasale;alveolare;sonora
1215617;45;tS;;comincia;k o m i n tS a;;;;;;;;affricata;postalveolare;sorda;affricata;postalveolare;sorda
1222276;45;a;;comincia;k o m i n tS a;;;;;;;;bassa;centrale;v;bassa;centrale;v
1225980;46;s;;subito;s u b i t o;;;;;;;;fricativa;alveolare;sorda;fricativa;alveolare;sorda
