word,phoneme,phoneme_surprisal
abbiamo,bb,6.507690866905599
abbiamo,j,3.746126892912593
abbiamo,a,0.032121953525235974
abbiamo,m,0.8542167043832746
abbiamo,o,-0.0
pensato,p,3.174138802993284
pensato,e,2.987480961558706
pensato,n,1.311968823748437
pensato,s,0.013705856219657942
pensato,a,0.024331045800211518
pensato,t,0.00871673163392093
pensato,o,0.003086995181587764
abbiamo,a,3.0643822684111126
abbiamo,bb,7.9771746268502115
abbiamo,j,1.5113780932016434
abbiamo,a,-0.0
abbiamo,m,0.048104509301572354
abbiamo,o,-0.0
letto,l,4.959618354054967
letto,E,2.011156952050526
letto,tt,0.012381556315015934
letto,o,0.016168296892352028
le,l,2.8470283104706624
le,e,1.6303982910382493
stelle,s,3.8026298515550137
stelle,t,1.7863071322717274
stelle,e,2.4500530069271838
stelle,ll,1.460920454537503
stelle,e,0.012859980570174276
ecco,E,7.5551432690654625
ecco,kk,4.486519089910651
ecco,o,0.18743232355924128
cosa,k,2.2667680850070964
cosa,O,2.7877027318563026
cosa,z,0.014671827493829758
cosa,a,0.10427160383053873
dovete,d,4.590120737461914
dovete,o,2.3456598451371042
dovete,v,0.9613532097502573
dovete,e,1.0836158307763504
dovete,t,2.1437816687291154
dovete,e,-0.0
fare,f,1.716579238714014
fare,a,0.016332954777432098
fare,r,0.012885641364694922
fare,e,0.07306866688961255
cercate,tS,6.070215595614196
cercate,e,2.5912619284089176
cercate,r,0.2874105422224274
cercate,k,0.025378338777134836
cercate,a,0.3875409813661303
cercate,t,2.121000492672112
cercate,e,0.0925656130716236
un,u,4.46983386536804
un,n,0.5232435027086066
uomo,w,3.9266853375711754
uomo,O,0.00015668529084764208
uomo,m,0.0036454705122613783
uomo,o,0.00029294029779343883
che,k,2.189741275245252
che,e,0.6449290590014223
sia,s,2.8055405076202944
sia,i,1.6285045651676309
sia,a,2.93158937425065
contento,k,3.8521187483251347
contento,o,1.1311777681210655
contento,n,0.9802317118868401
contento,t,1.4154389752284768
contento,E,0.16406224379979936
contento,n,0.002134586775927397
contento,t,-0.0
