BEGIN,semantic_dissimilarity,type_of_words,word
4441752.0,0.3075019121170044,content,altro
4454100.0,0.4137993454933166,content,Re
4460715.0,0.419610857963562,function,suo
4471299.0,0.3949298858642578,content,vicino
4494672.0,0.4206786155700683,function,gli
4500405.0,0.4048732221126556,content,dissero
4534463.0,0.3052116632461548,function,che
4538772.0,0.3050618171691894,function,era
4544064.0,0.3986088633537292,function,proprio
4561924.0,0.3725819587707519,content,felice
4579785.0,0.3647720217704773,function,e
4581108.0,0.3526994884014129,content,contento
4624326.0,0.310964286327362,content,aveva
4638398.0,0.3219560980796814,function,una
4645053.0,0.4066884517669678,content,moglie
4660488.0,0.3192154765129089,content,bella
4671513.0,0.3272382616996765,function,e
4675923.0,0.3011142909526825,content,buona
4701060.0,0.2912047505378723,function,un
4707675.0,0.4191353321075439,content,mucchio
4719141.0,0.3028295636177063,function,di
4725756.0,0.2980673015117645,content,figli
4750893.0,0.2898140549659729,function,aveva
4763241.0,0.3924769759178161,content,vinto
4778235.0,0.382883071899414,function,tutti
4789701.0,0.3345642685890198,function,i
4791024.0,0.3585968613624573,content,nemici
4808910.0,0.3741453886032104,function,in
4812633.0,0.3634604811668396,content,guerra
4832037.0,0.2880125045776367,function,e
4838652.0,0.3105467557907104,function,il
4845267.0,0.3384353518486023,content,paese
4861143.0,0.3243764638900757,content,stava
4874814.0,0.3488000035285949,function,in
4882752.0,0.3330806493759155,content,pace
4935702.0,0.3933292329311371,function,Subito
4968358.0,0.3319991827011108,function,il
4972892.0,0.4619491100311279,content,Re
4989915.0,0.4543770551681518,content,pieno
4999176.0,0.4199144840240478,function,di
5005350.0,0.3668584823608398,content,speranza
5037984.0,0.3976879715919494,content,mandò
5049891.0,0.2964908480644226,function,gli
5055183.0,0.3945051729679107,content,ambasciatori
5088363.0,0.3470820784568786,function,a
5090022.0,0.4417054951190948,content,chiedergli
5112072.0,0.3923084139823913,function,la
5116482.0,0.3488860726356506,content,camicia
5181750.0,0.2473755478858947,function,Il
5187483.0,0.3614278435707092,content,Re
5193657.0,0.3655729293823242,function,vicino
5210856.0,0.3539115190505981,content,ricevette
5235993.0,0.2521432638168335,function,gli
5240844.0,0.3284405767917633,content,ambasciatori
5305671.0,0.364175945520401,function,e
5347182.0,0.3882591426372528,function,Sì
5364372.0,0.3198465406894684,function,sì
5390784.0,0.3298781514167785,function,non
5396076.0,0.3670942187309265,function,mi
5401368.0,0.4218001365661621,content,manca
5417685.0,0.3690211772918701,function,nulla
5456493.0,0.431180477142334,content,peccato
5475015.0,0.3998022079467773,function,però
5488245.0,0.3830217123031616,function,che
5493096.0,0.3691564798355102,function,quando
5504562.0,0.3980101943016052,function,si
5510736.0,0.3956506252288818,content,hanno
5518674.0,0.3706032633781433,function,tante
5531022.0,0.329627513885498,content,cose
5546898.0,0.3550096154212951,function,poi
5553072.0,0.2986904382705688,function,si
5560569.0,0.378503680229187,function,debba
5574240.0,0.3584527373313904,content,morire
5603138.0,0.3244275450706482,function,e
5607756.0,0.387661337852478,content,lasciare
5627160.0,0.3547869026660919,function,tutto
5661117.0,0.3890709280967712,function,Con
5669937.0,0.3733672499656677,function,questo
5681844.0,0.3437827527523041,content,pensiero
5701689.0,0.3924433887004852,content,soffro
5718006.0,0.3260177075862884,function,tanto
5734764.0,0.3361479043960571,function,che
5738733.0,0.3005659580230713,function,non
5747553.0,0.3783824145793915,content,dormo
5761224.0,0.4054256081581116,function,alla
5768721.0,0.3857784867286682,content,notte
5787684.0,0.400540828704834,function,E
5820507.0,0.3861530423164367,function,gli
5822964.0,0.4640130400657654,content,ambasciatori
5851188.0,0.4514835774898529,content,pensarono
5874120.0,0.4187521338462829,function,bene
5884263.0,0.3549674153327942,function,di
5890437.0,0.401918888092041,content,tornarsene
5916456.0,0.3525715172290802,function,indietro
5978196.0,0.3630540370941162,function,Per
5983488.0,0.4090465009212494,content,sfogare
6012153.0,0.4101335406303406,function,la
6015681.0,0.3839788436889648,function,sua
6025383.0,0.3424133658409118,content,disperazione
6070365.0,0.2713567614555359,function,il
6075657.0,0.4122793078422546,content,Re
6083154.0,0.3150819540023803,content,andò
6093671.0,0.4134520292282104,function,a
6100233.0,0.501686692237854,content,caccia
6132149.0,0.4058268070220947,content,Tirò
6142596.0,0.4129342436790466,function,a
6144289.0,0.333073616027832,function,una
6152391.0,0.4473437368869781,content,lepre
6176205.0,0.3060243725776672,function,e
6177528.0,0.4177295565605163,content,credeva
6195168.0,0.4369022250175476,function,d'
6196491.0,0.3666637241840362,function,averla
6212808.0,0.3649604022502899,content,presa
6231330.0,0.3616793155670166,function,ma
6236181.0,0.2713842988014221,function,la
6240591.0,0.3724651336669922,content,lepre
6256467.0,0.3961243629455566,content,zoppicando
6281163.0,0.3461009562015533,content,scappò
6304977.0,0.3199254870414734,function,via
6351282.0,0.3107380270957947,function,Il
6354810.0,0.4688225984573364,content,Re
6363630.0,0.3477001190185547,function,le
6368922.0,0.3753324449062347,content,tenne
6381270.0,0.3926061689853668,function,dietro
6409053.0,0.2854729294776916,function,e
6410376.0,0.3747678399085998,function,s'
6415227.0,0.3455136120319366,content,allontanò
6436836.0,0.3424299359321594,function,dal
6445656.0,0.3556694984436035,content,seguito
6498576.0,0.3395826816558838,function,In
6503427.0,0.4244606494903564,content,mezzo
6514893.0,0.3340575098991394,function,ai
6517539.0,0.3614463210105896,content,campi
6532533.0,0.3745404481887817,content,sentì
6545763.0,0.3078840374946594,function,una
6553260.0,0.3822926878929138,content,voce
6564726.0,0.3986659646034241,function,d'
6566049.0,0.4086648225784302,content,uomo
6578397.0,0.3014624714851379,function,che
6583248.0,0.3841052055358886,content,cantava
6603975.0,0.4002608060836792,function,la
6610590.0,0.4632009267807007,content,falulella
6679386.0,0.3213722109794616,function,Il
6685119.0,0.4424709677696228,content,Re
6691734.0,0.3386510014533996,function,si
6700995.0,0.3920055329799652,content,fermò
6745536.0,0.4576559364795685,function,Chi
6753033.0,0.3531463742256164,content,canta
6769350.0,0.430417537689209,function,così
6782139.0,0.4053592085838318,function,non
6788313.0,0.4096754789352417,function,può
6794487.0,0.4578782916069031,function,che
6800220.0,0.3262673020362854,function,essere
6816096.0,0.4022688865661621,content,contento
6861519.0,0.34159916639328,function,e
6862842.0,0.4066625833511352,content,seguendo
6884909.0,0.3446985483169555,function,il
6889302.0,0.3800731897354126,content,canto
6903414.0,0.3971187770366668,function,s'
6907824.0,0.4029915034770965,content,infilò
6922363.0,0.3337687849998474,function,in
6925949.0,0.357994019985199,function,una
6936048.0,0.3975130021572113,content,vigna
6962508.0,0.2668278217315674,function,e
6964713.0,0.3511568307876587,function,tra
6971769.0,0.3245711326599121,function,i
6975958.0,0.4310226440429687,content,filari
6992937.0,0.3397582769393921,content,vide
7002639.0,0.2692208886146545,function,un
7008813.0,0.3724638819694519,content,giovane
7028658.0,0.2982889413833618,function,che
7039683.0,0.4104401767253876,content,cantava
7062174.0,0.403030514717102,content,potando
7081137.0,0.3110744953155517,function,le
7084224.0,0.3775985836982727,content,viti
7134498.0,0.5201017260551453,content,Buon
7145082.0,0.5343068242073059,content,dì
7153020.0,0.4967166483402252,content,Maestà
7185654.0,0.432243287563324,content,disse
7199325.0,0.3923715353012085,function,quel
7209468.0,0.3487319648265838,content,giovane
7246512.0,0.4228287935256958,function,Così
7260183.0,0.4172196984291076,function,di
7264152.0,0.4702866375446319,content,buon'
7271649.0,0.4569579362869262,content,ora
7280469.0,0.3811218738555908,function,già
7284438.0,0.3563558459281921,function,in
7290612.0,0.3891643583774566,content,campagna
7347501.0,0.4594080448150635,content,Benedetto
7370874.0,0.3890941143035888,function,te
7402185.0,0.4466970562934875,content,vuoi
7411446.0,0.4010674953460693,function,che
7418061.0,0.3593557476997375,function,ti
7424235.0,0.3647714853286743,content,porti
7437906.0,0.4007106423377991,function,con
7445844.0,0.3986924290657043,function,me
7453341.0,0.3731477856636047,function,alla
7459515.0,0.3824997544288635,content,capitale
7498164.0,0.4093729853630066,function,Sarai
7510230.0,0.3917996883392334,function,mio
7520814.0,0.3661835491657257,content,amico
7564914.0,0.4195119440555572,function,Ahi
7575939.0,0.3985579907894134,function,ahi
7586964.0,0.4069134891033172,content,Maestà
7616070.0,0.3051913976669311,function,no
7627095.0,0.3029919266700744,function,non
7634151.0,0.4291965961456299,function,ci
7639884.0,0.4106712341308594,content,penso
7653114.0,0.3482496440410614,function,nemmeno
7671636.0,0.298253446817398,function,grazie
7707357.0,0.312508225440979,function,Non
7710885.0,0.3738541007041931,function,mi
7716618.0,0.4422099888324737,content,cambierei
7733817.0,0.3819405436515808,function,neanche
7748370.0,0.4092180132865906,content,col
7759395.0,0.3755939900875091,content,Papa
7801731.0,0.3720083236694336,function,Ma
7808346.0,0.3760369718074798,function,perché
7828191.0,0.3746472001075744,function,tu
7846272.0,0.3049890995025635,function,un
7852446.0,0.4667840600013733,function,così
7866999.0,0.3957556486129761,content,bel
7876701.0,0.4125519096851349,content,giovane
