word,semantic_dissimilarity
vita,0.36122989654541016
degna,0.28278863430023193
di,0.3314383625984192
essere,0.2734386920928955
vissuta,0.2176075279712677
Certo,0.311581015586853
le,0.21267914772033691
nostre,0.20777416229248047
droghe,0.23252815008163452
non,0.16046690940856934
funzionano,0.20294532179832458
Alla,0.2812368869781494
ASL,0.31418412923812866
distribuiscono,0.31293460726737976
gratis,0.21076780557632446
ogni,0.2374768853187561
tipo,0.3606274724006653
di,0.2153121829032898
droga,0.16954892873764038
e,0.22577863931655884
anestetico,0.22174803912639618
Ma,0.2154892086982727
non,0.17583537101745605
servono,0.22268342971801758
a,0.3944578766822815
niente,0.3022174835205078
Che,0.3493313789367676
strano,0.27171778678894043
nessuno,0.3002479076385498
aveva,0.2795681953430176
pensato,0.3331366181373596
a,0.25646311044692993
questa,0.2011536955833435
punizione,0.21183019876480103
Era,0.2655346989631653
la,0.2791975140571594
peggiore,0.26484429836273193
di,0.39853399991989136
tutte,0.24450230598449707
Tutti,0.29954993724823
a,0.30591946840286255
parlare,0.20537447929382324
Ora,0.24175089597702026
però,0.24625861644744873
pure,0.3509786128997803
parlare,0.21007251739501953
è,0.17227721214294434
impossibile,0.17893356084823608
Le,0.25323402881622314
corde,0.23469579219818115
vocali,0.23235666751861572
le,0.18787157535552979
usiamo,0.18337976932525635
oramai,0.31655049324035645
solo,0.18899506330490112
per,0.21127420663833618
lamentarci,0.29118630290031433
Ora,0.2523736357688904
devo,0.2448490858078003
smettere,0.26825380325317383
di,0.2683509588241577
scrivere,0.21091648936271667
la,0.2247961163520813
mano,0.2615012526512146
mi,0.17983555793762207
si,0.2704032063484192
sta,0.2635016441345215
paralizzando,0.4057568609714508
e,0.18149018287658691
gli,0.2590513229370117
occhi,0.22297275066375732
mi,0.146134614944458
si,0.22282248735427856
appannano,0.3319736421108246
Di,0.3235531449317932
là,0.381217360496521
il,0.19163960218429565
piccolo,0.26018834114074707
Ettore,0.2889202833175659
non,0.14784550666809082
smette,0.29697710275650024
di,0.26759278774261475
piangere,0.19324404001235962
da,0.2655552625656128
un,0.33505916595458984
mese,0.29452311992645264
Spero,0.3580264449119568
tanto,0.3117055296897888
che,0.2443966269493103
lì,0.2703346014022827
da,0.3116495609283447
voi,0.2554212212562561
non,0.21563220024108887
